ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
316,1,2,1,2,0,0,0,3,2,0,1
317,1,2,0,1,0,0,0,0,2,0,1
318,0,2,1,2,0,1,0,0,2,2,1
319,0,2,0,2,0,1,3,0,2,2,0
320,0,2,0,2,0,0,3,0,2,2,0
321,0,2,1,0,2,0,0,0,2,2,0
322,0,2,1,2,0,0,2,0,2,1,1
323,1,3,1,2,0,0,3,0,2,0,0
324,1,3,0,0,0,0,0,3,2,0,0
325,1,3,1,2,0,1,3,3,2,2,1
326,1,3,0,2,2,0,2,1,2,0,0
327,0,3,1,2,0,0,2,3,2,1,0
328,0,3,1,0,0,0,4,3,2,1,0
329,0,3,1,2,0,0,2,3,2,1,1
330,1,3,1,2,1,1,0,0,2,3,0
331,1,3,0,2,0,1,3,3,2,3,0
332,0,3,1,2,1,0,2,3,2,1,1
333,0,3,1,1,1,0,3,3,2,1,0
334,0,3,1,1,0,1,3,0,2,2,1
335,0,3,0,2,0,0,0,0,2,1,1
336,1,3,0,2,0,0,0,0,2,2,1
337,1,3,1,2,0,1,0,0,2,0,0
338,1,3,0,2,2,0,2,1,2,1,0
339,0,3,0,2,0,0,3,0,2,2,0
340,1,3,1,2,0,0,3,0,2,0,0
341,1,3,1,2,0,0,0,0,2,2,0
342,0,3,0,1,0,0,0,0,2,2,0
343,1,3,1,2,1,0,0,0,2,3,0
344,0,3,1,2,0,0,2,3,2,2,0
345,1,3,1,2,0,1,0,0,2,3,1
346,1,3,1,1,1,0,3,3,2,0,0
347,1,3,1,2,0,0,0,0,2,2,0
348,0,3,1,1,0,0,3,0,2,1,0
349,1,3,0,0,1,0,0,0,2,0,1
350,1,3,0,0,1,0,0,0,2,0,1
351,1,3,0,0,1,0,0,0,2,0,1
352,1,3,0,2,0,1,3,3,2,0,0
353,0,3,1,1,0,0,3,0,2,1,0
