ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
151,1,29,Male,Married,10000,Frist-Hand,572140,4.00E+05,120,6.6555,Average_Capital_Plus_Interest_Repayment
152,1,29,Male,Single,5000,Second-Hand,212733,170000,120,6.6555,Average_Capital_Plus_Interest_Repayment
153,0,29,Female,Unknown,10000,Frist-Hand,654066.76,150000,120,4.158,Average_Capital_Plus_Interest_Repayment
154,0,29,Male,Married,12000,Frist-Hand,1052759.31,480000,120,4.158,Average_Capital_Plus_Interest_Repayment
155,1,29,Female,Married,9600,Frist-Hand,457470,320000,120,5.814,Average_Capital_Plus_Interest_Repayment
156,0,29,Female,Unknown,10000,Frist-Hand,1195529.79,520000,120,5.049,Matching_The_Principal_Repayment
157,1,29,Female,Married,8000,Frist-Hand,650313,450000,120,6.579,Average_Capital_Plus_Interest_Repayment
158,0,30,Female,Single,6500,Frist-Hand,297170.96,140000,120,4.158,Matching_The_Principal_Repayment
159,1,30,Male,Married,4000,Second-Hand,267687,70000,120,7.2063,Average_Capital_Plus_Interest_Repayment
160,0,30,Female,Married,2500,Second-Hand,473082.84,150000,120,4.158,Average_Capital_Plus_Interest_Repayment
161,0,30,Female,Married,13800,Frist-Hand,1121939.92,540000,120,4.158,Matching_The_Principal_Repayment
162,1,30,Male,Single,18000,Frist-Hand,877438,7.00E+05,120,6.6555,Matching_The_Principal_Repayment
163,1,30,Male,Single,6000,Frist-Hand,616621,250000,120,5.814,Average_Capital_Plus_Interest_Repayment
164,0,30,Female,Single,8000,Frist-Hand,620114.98,320000,120,5.049,Average_Capital_Plus_Interest_Repayment
165,0,30,Male,Married,23000,Frist-Hand,984615.8,440000,120,5.049,Average_Capital_Plus_Interest_Repayment
166,0,31,Female,Married,6000,Frist-Hand,374295.6,195000,120,4.158,Matching_The_Principal_Repayment
167,1,31,Female,Married,4600,Second-Hand,274536,70000,120,5.346,Matching_The_Principal_Repayment
168,0,31,Male,Married,20000,Second-Hand,1338930,350000,120,5.049,Average_Capital_Plus_Interest_Repayment
169,1,31,Female,Unknown,4500,Second-Hand,217438,1.00E+05,120,6.5025,Matching_The_Principal_Repayment
170,1,31,Male,Married,12000,Frist-Hand,619084,490000,120,6.6555,Average_Capital_Plus_Interest_Repayment
171,1,31,Female,Single,5500,Second-Hand,321989,225000,120,5.346,Average_Capital_Plus_Interest_Repayment
172,0,31,Male,Single,15000,Second-Hand,1524975.27,3.00E+05,120,4.158,Matching_The_Principal_Repayment
173,0,31,Male,Single,10000,Frist-Hand,1053982.52,360000,120,4.158,Matching_The_Principal_Repayment
174,0,31,Male,Single,15000,Second-Hand,994104.9,360000,120,4.158,Average_Capital_Plus_Interest_Repayment
175,0,31,Female,Single,15000,Frist-Hand,805712.96,340000,120,5.049,Average_Capital_Plus_Interest_Repayment
